"userid","module","rank","Cluster","order","nextOrder"
3912,"m5",2,4,9,3
4062,"m5",2,5,4,3
3326,"m5",2,6,9,9
3421,"m5",2,7,8,4
2600,"m5",2,8,8,8
3166,"m5",2,3,6,8
4047,"m5",2,8,8,8
2534,"m5",2,1,6,9
3072,"m5",2,9,6,6
3952,"m5",2,3,6,8
2508,"m5",2,10,5,8
3126,"m5",2,2,8,9
2496,"m5",2,3,6,8
4043,"m5",2,1,6,9
3448,"m5",2,6,9,9
2513,"m5",2,10,5,8
3048,"m5",2,3,6,8
2912,"m5",2,3,6,8
3289,"m5",2,11,4,9
2448,"m5",2,12,8,7
3187,"m5",2,8,8,8
2519,"m5",2,8,8,8
2994,"m5",2,8,8,8
4229,"m5",2,6,9,9
2492,"m5",2,13,8,3
